last_name, first_name,player_id,team_name_alt,pitch_type,pitch_name,run_value_per_100,run_value,pitches,pitch_usage,pa,ba,slg,woba,whiff_percent,k_percent,put_away,est_ba,est_slg,est_woba,hard_hit_percent
Suarez, Robert,663158,SD,SIFT,Sinker,-4.1,-7,178,22.2,40,0.139,0.139,0.183,16.3,15,18.8,0.225,0.283,0.27,33.3
Clevinger, Mike,605182,SD,CH,Changeup,1.9,4,187,9.7,40,0.2,0.457,0.318,32.6,15,12,0.198,0.422,0.309,23.3
Faedo, Alex,656412,DET,CH,Changeup,0.2,0,128,13.2,40,0.222,0.333,0.269,19.7,7.5,7.1,0.284,0.548,0.379,26.5
Gsellman, Robert,607229,CHC,SIFT,Sinker,2.2,3,115,55.6,40,0.333,0.59,0.4,17.2,10,16.7,0.367,0.654,0.445,54.3
Rogers, Josh,642028,WSH,SL,Slider,2.1,3,147,35.1,40,0.237,0.474,0.31,16,17.5,14,0.268,0.54,0.355,31.3
Holderman, Colin,670059,PIT,SL,Slider,-1.3,-2,176,40.7,40,0.114,0.114,0.16,41,47.5,32.8,0.089,0.146,0.159,23.5
Cano, Yennier,666974,BAL,SIFT,Sinker,2.9,5,158,40.1,40,0.4,0.733,0.501,7.7,7.5,9.7,0.321,0.52,0.421,41.4
Bird, Jake,656234,COL,FC,Cutter,2,4,187,25.1,40,0.351,0.568,0.416,24.4,22.5,18.8,0.303,0.509,0.376,39.3
Williams, Trevor,592866,NYM,SL,Slider,2.3,4,165,11.7,40,0.237,0.526,0.338,36.4,22.5,20.5,0.246,0.418,0.307,31
Oller, Adam,670124,OAK,CUKC,Curveball,0.6,1,137,10.6,40,0.231,0.359,0.265,27,37.5,22.4,0.2,0.327,0.238,50
Wells, Tyler,669330,BAL,CUKC,Curveball,-0.1,0,212,12.9,40,0.237,0.289,0.255,23.9,17.5,9.7,0.16,0.206,0.184,16.1
Mikolas, Miles,571945,STL,CH,Changeup,1,1,126,4,40,0.308,0.667,0.396,9.2,2.5,4.8,0.299,0.543,0.352,30.8
Yarbrough, Ryan,642232,TB,SIFT,Sinker,-0.3,-1,254,18.7,40,0.281,0.406,0.379,17.7,15,10.2,0.294,0.412,0.378,44.4
Reed, Jake,596082,BAL,SL,Slider,6.9,9,135,44,40,0.286,0.6,0.411,29.7,20,14,0.231,0.51,0.361,51.9
Patiño, Luis,672715,TB,FF,4-Seamer,3.2,5,170,43.8,40,0.364,0.606,0.465,14.6,10,6.9,0.282,0.435,0.377,34.5
Ortega, Oliver,661383,LAA,CUKC,Curveball,1.8,4,223,39.3,40,0.286,0.543,0.395,45,40,22.5,0.205,0.358,0.298,47.4
Gillaspie, Logan,670810,BAL,FF,4-Seamer,1,1,126,48.1,40,0.297,0.378,0.309,14.1,12.5,15.6,0.324,0.518,0.393,54.5
Thompson, Zack,668868,STL,CUKC,Curveball,-1.8,-3,180,31.3,39,0.108,0.216,0.165,16.9,20.5,13.3,0.245,0.347,0.283,24.1
Smith, Joe,501925,MIN,FF,4-Seamer,0.6,1,139,30.9,39,0.2,0.429,0.313,16.9,25.6,16.1,0.226,0.489,0.325,30.8
Clarke, Taylor,664199,KC,CH,Changeup,0.9,2,184,21.4,39,0.316,0.447,0.364,28.3,15.4,10.2,0.232,0.338,0.257,40.6
Kowar, Jackson,663804,KC,CH,Changeup,3.5,5,133,42.8,39,0.306,0.528,0.382,35.8,33.3,29.5,0.208,0.317,0.264,34.8
Matz, Steven,571927,STL,CUKC,Curveball,1.7,3,170,20,39,0.256,0.462,0.328,24.7,20.5,12.5,0.243,0.416,0.285,25.8
Fulmer, Michael,605242,MIN,FF,4-Seamer,2.6,4,159,15.2,39,0.29,0.516,0.415,31.9,17.9,14.6,0.266,0.417,0.378,41.7
Barnes, Jacob,606930,NYY,FC,Cutter,-0.1,0,153,42.4,39,0.273,0.394,0.343,38.6,17.9,17.9,0.282,0.446,0.365,44.4
Crismatt, Nabil,622503,SD,CUKC,Curveball,-1,-2,216,20.3,39,0.219,0.344,0.294,27.1,17.9,15.2,0.25,0.458,0.358,35.7
Pérez, Cionel,672335,BAL,SIFT,Sinker,0.3,0,143,15.9,39,0.314,0.343,0.322,15.4,15.4,26.1,0.225,0.263,0.238,54.8
Boxberger, Brad,502202,MIL,SL,Slider,0.5,1,245,22.5,39,0.289,0.474,0.337,23.7,15.4,14.3,0.215,0.398,0.274,21.9
Cabrera, Edward,665795,MIA,FF,4-Seamer,0.9,2,245,20.2,39,0.182,0.576,0.368,22.4,20.5,13.8,0.235,0.608,0.407,40
Brasier, Ryan,518489,BOS,SIFT,Sinker,6.2,7,114,11.6,39,0.459,0.568,0.487,8.8,5.1,13.3,0.319,0.418,0.338,42.9
Jefferies, Daulton,641726,OAK,FC,Cutter,1.1,1,124,20.3,39,0.342,0.632,0.442,25.4,12.8,27.8,0.248,0.472,0.316,39.4
Long, Sam,669674,SF,CUKC,Curveball,1,2,198,26.8,39,0.211,0.368,0.281,23.1,25.6,20.8,0.254,0.376,0.282,42.9
Perez, Francisco,660906,WSH,FF,4-Seamer,1.8,2,129,62.9,39,0.387,0.548,0.467,14,10.3,13.3,0.349,0.579,0.461,63
Garcia, Yimi,554340,TOR,SIFT,Sinker,-2.4,-4,146,14.1,39,0.222,0.278,0.279,11.9,5.1,9.1,0.197,0.222,0.225,14.7
Rucker, Michael,621074,CHC,CUKC,Curveball,-1.5,-2,155,17,39,0.211,0.211,0.226,19.3,17.9,14.3,0.237,0.315,0.252,19.4
Ort, Kaleb,672391,BOS,SL,Slider,2.6,4,176,33.3,39,0.25,0.375,0.371,34.2,23.1,14.8,0.294,0.48,0.398,39.1
